,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
0,Kitchenham,literatur review,10,10,1704,534,0.5266431204622528,296,45,5,1,2
1,Kitchenham,literatur review,20,15,1704,534,0.4968209642846326,220,45,28,0,0
2,Kitchenham,literatur review,30,10,1704,534,0.4596289240150061,169,45,14,0,2
3,Kitchenham,literatur review,40,4,1704,534,0.436567048040715,132,45,27,0,0
4,Kitchenham,literatur review,50,2,1704,534,0.4199328054880019,133,45,17,0,1
5,Kitchenham,literatur review,60,2,1704,534,0.42009146093242405,89,45,23,0,0
6,Kitchenham,literatur review,70,4,1704,534,0.398246993922729,90,45,25,0,0
7,Kitchenham,literatur review,80,3,1704,534,0.3978588140444891,104,45,19,0,1
8,Kitchenham,literatur review,90,3,1704,534,0.39568793785923734,90,45,20,0,1
9,Kitchenham,literatur review,100,5,1704,534,0.37869401465689423,78,45,19,0,1
10,Kitchenham,literatur review,110,5,1704,534,0.37340692051972385,71,45,18,0,2
11,Kitchenham,literatur review,120,3,1704,534,0.3813095844441658,74,45,14,0,3
12,Kitchenham,literatur review,130,3,1704,534,0.3823368986501742,76,45,10,1,2
13,Kitchenham,literatur review,140,6,1704,534,0.3672313138949272,57,45,18,0,2
14,Kitchenham,literatur review,150,2,1704,534,0.37415262838657054,53,45,8,1,4
15,Kitchenham,literatur review,160,4,1704,534,0.3763542539271875,46,45,14,0,3
16,Kitchenham,literatur review,170,3,1704,534,0.3757028347047738,57,45,17,0,2
17,Kitchenham,literatur review,180,5,1704,534,0.36781581343244024,55,45,18,0,3
18,Kitchenham,literatur review,190,5,1704,534,0.37506881562732775,60,45,14,0,4
19,Kitchenham,literatur review,200,4,1704,534,0.3738817874463641,75,45,17,0,2
20,Kitchenham,literatur review,10,10,1704,424,0.5272345716768209,300,45,4,1,2
21,Kitchenham,literatur review,20,8,1704,424,0.5013416254475402,258,45,14,0,1
22,Kitchenham,literatur review,30,15,1704,424,0.46521687673493056,168,45,18,0,1
23,Kitchenham,literatur review,40,2,1704,424,0.4375381711111115,163,45,32,0,0
24,Kitchenham,literatur review,50,5,1704,424,0.42457235342038674,108,45,21,0,0
25,Kitchenham,literatur review,60,9,1704,424,0.40975751760507406,103,45,9,1,1
26,Kitchenham,literatur review,70,3,1704,424,0.4024269039265777,93,45,21,0,0
27,Kitchenham,literatur review,80,6,1704,424,0.3998886771464142,79,45,9,1,4
28,Kitchenham,literatur review,90,2,1704,424,0.3819462119374645,86,45,16,0,2
29,Kitchenham,literatur review,100,2,1704,424,0.39654151896829626,85,45,6,2,5
30,Kitchenham,literatur review,110,1,1704,424,0.3856577977092484,70,45,7,1,3
31,Kitchenham,literatur review,120,5,1704,424,0.37726773339955694,68,45,11,0,3
32,Kitchenham,literatur review,130,2,1704,424,0.3663756226936466,74,45,18,0,1
33,Kitchenham,literatur review,140,3,1704,424,0.3648825696107923,48,45,17,0,2
34,Kitchenham,literatur review,150,2,1704,424,0.3678834257985921,52,45,15,0,1
35,Kitchenham,literatur review,160,2,1704,424,0.37098909164949617,55,45,14,0,3
36,Kitchenham,literatur review,170,4,1704,424,0.37056872107001926,61,45,13,0,3
37,Kitchenham,literatur review,180,2,1704,424,0.3655437666524648,55,45,16,0,3
38,Kitchenham,literatur review,190,2,1704,424,0.37634159373353177,55,45,17,0,3
39,Kitchenham,literatur review,200,2,1704,424,0.3613711117319742,54,45,13,0,3
40,Kitchenham,literatur review,10,10,1704,826,0.5398965509011318,294,45,5,1,4
