,database,query,num_topics,qry_topics,num_documents,rand_seed,coherence,ext_query_size,num_relevant,f_distance,top_10_true,top_20_true
0,Kitchenham,literatur_review,10,2,1704,534,0.4642631748470555,1074,45,22,0,0
1,Kitchenham,literatur_review,20,3,1704,534,0.424896746006996,884,45,43,0,0
2,Kitchenham,literatur_review,30,4,1704,534,0.3949953431593896,683,45,15,0,1
3,Kitchenham,literatur_review,40,4,1704,534,0.3538862415113038,553,45,42,0,0
4,Kitchenham,literatur_review,50,2,1704,534,0.3408337181679666,284,45,35,0,0
5,Kitchenham,literatur_review,60,3,1704,534,0.33304564843664164,135,45,17,0,1
6,Kitchenham,literatur_review,70,6,1704,534,0.33349447708702085,440,45,68,0,0
7,Kitchenham,literatur_review,80,5,1704,534,0.3284797886107026,500,45,47,0,0
8,Kitchenham,literatur_review,90,3,1704,534,0.3389203307256267,340,45,16,0,1
9,Kitchenham,literatur_review,100,4,1704,534,0.33620814516104297,470,45,16,0,1
10,Kitchenham,literatur_review,110,4,1704,534,0.34167785060165945,462,45,25,0,0
11,Kitchenham,literatur_review,120,5,1704,534,0.3288343602050606,363,45,34,0,0
12,Kitchenham,literatur_review,130,4,1704,534,0.3358336265632394,235,45,3,1,2
13,Kitchenham,literatur_review,140,5,1704,534,0.34392361541067346,269,45,11,0,3
14,Kitchenham,literatur_review,150,4,1704,534,0.33681493113711647,232,45,8,2,2
15,Kitchenham,literatur_review,160,2,1704,534,0.35119504401313273,157,45,67,0,0
16,Kitchenham,literatur_review,170,3,1704,534,0.3463862550744362,195,45,22,0,0
17,Kitchenham,literatur_review,180,1,1704,534,0.35367463811785527,145,45,17,0,1
18,Kitchenham,literatur_review,190,4,1704,534,0.3492993122561795,148,45,15,0,1
19,Kitchenham,literatur_review,200,1,1704,534,0.34246637534269736,125,45,9,1,1
20,Kitchenham,literatur_review,10,1,1704,424,0.45961576466799225,811,45,3,2,3
21,Kitchenham,literatur_review,20,3,1704,424,0.4157643417731647,987,45,15,0,1
22,Kitchenham,literatur_review,30,3,1704,424,0.3679801015656797,711,45,28,0,0
23,Kitchenham,literatur_review,40,4,1704,424,0.3558649352054907,624,45,22,0,0
24,Kitchenham,literatur_review,50,5,1704,424,0.3537052402009572,454,45,50,0,0
25,Kitchenham,literatur_review,60,5,1704,424,0.33075148631350326,140,45,31,0,0
26,Kitchenham,literatur_review,70,5,1704,424,0.3373157587063422,374,45,9,1,1
27,Kitchenham,literatur_review,80,4,1704,424,0.33966065935822815,447,45,72,0,0
28,Kitchenham,literatur_review,90,2,1704,424,0.33263743917517,292,45,14,0,1
29,Kitchenham,literatur_review,100,4,1704,424,0.33803589380745747,651,45,42,0,0
30,Kitchenham,literatur_review,110,5,1704,424,0.334609302630405,495,45,83,0,0
31,Kitchenham,literatur_review,120,6,1704,424,0.3342379268814433,294,45,22,0,0
32,Kitchenham,literatur_review,130,4,1704,424,0.3278897434066451,436,45,39,0,0
33,Kitchenham,literatur_review,140,6,1704,424,0.3381540698140982,238,45,27,0,0
